,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
092040,아미코젠,12.73,"2,093",12.73,"2,093",N/A,N/A,4.02,"6,632",0.38,N/A,161
181710,NHN,17.19,"4,567",16.77,"4,682",19.00,"4,204",0.94,"83,901",N/A,53.4,172.9
130500,GH신소재,86.10,41,86.10,41,N/A,N/A,0.98,"3,619",2.55,1.1,66.2
170790,파이오링크,132.45,53,123.16,57,N/A,N/A,1.36,"5,163",0.86,N/A,698.2
151860,KG ETS,11.65,313,11.50,317,N/A,N/A,0.85,"4,281",2.74,15,82.4
175330,JB금융지주,3.95,"1,465",4.16,"1,391",4.00,"1,583",0.36,"16,113",3.11,N/A,N/A
089600,나스미디어,18.72,"2,161",18.72,"2,161",16.00,"2,597",2.68,"15,088",1.31,39.1,148.5
950130,엑세스바이오,-24.39,-157,N/A,N/A,N/A,N/A,2.77,"1,381",N/A,N/A,160.6
155660,DSR,11.26,494,11.26,494,N/A,N/A,0.61,"9,127",0.90,6.7,170.1
141080,레고켐바이오,-20.99,"-2,411",N/A,N/A,N/A,N/A,5.97,"8,473",N/A,N/A,800.3
170900,동아에스티,105.49,948,105.37,949,N/A,N/A,1.46,"68,658",1.00,5.8,161.3
158310,인터불스,-1.85,"-1,206",N/A,N/A,N/A,N/A,0.95,"2,343",N/A,N/A,79.5
097800,윈팩,30.81,43,30.81,43,N/A,N/A,1.29,"1,030",N/A,N/A,32.6
104540,코렌텍,-2.32,"-2,425",N/A,N/A,N/A,N/A,1.86,"3,030",N/A,0.6,366.7
159580,제로투세븐,-25.21,-474,N/A,N/A,N/A,N/A,3.72,"3,211",N/A,N/A,157.1
114810,아이원스,15.95,398,15.95,398,N/A,N/A,0.67,"9,442",N/A,1.1,73.2
153490,우리이앤엘,20.88,40,20.37,41,N/A,N/A,0.73,"1,145",N/A,3.3,170.5
099190,아이센스,15.12,"1,647",15.08,"1,651",15.00,"1,643",1.87,"13,308",0.60,18.2,405
141020,포티스,-3.74,-278,N/A,N/A,N/A,N/A,1.48,701,N/A,N/A,134.4
159910,스킨앤스킨,-3.59,-131,N/A,N/A,N/A,N/A,1.42,331,N/A,N/A,176.6
950110,SBI핀테크솔루션즈,44.09,330,N/A,N/A,N/A,N/A,13.11,"1,110",0.94,13.5,108.5
046970,우리로,-68.12,-48,N/A,N/A,N/A,N/A,2.32,"1,408",N/A,0.5,91.1
113810,디젠스,-1.80,-347,N/A,N/A,N/A,N/A,0.92,676,4.01,N/A,81.9
013870,지엠비코리아,"1,132.86",7,"1,132.86",7,N/A,N/A,0.68,"11,678",0.38,0.1,117.8
141070,맥스로텍,18.58,74,18.58,74,N/A,N/A,1.02,"1,342",N/A,1.1,84.8
155650,와이엠씨,7.96,805,7.88,813,N/A,N/A,1.45,"4,409",3.12,23.3,148.5
037560,CJ헬로,14.12,512,14.12,512,14.00,520,0.53,"13,677",1.04,2.5,71.7
149950,아바텍,14.55,495,14.12,510,N/A,N/A,0.78,"9,240",1.39,720.9,558.7
163560,동일고무벨트,8.60,771,8.60,771,N/A,N/A,0.47,"14,015",1.32,9.9,197.2
161890,한국콜마,32.75,"1,954",32.75,"1,954",21.00,"2,980",3.26,"19,616",0.52,2.5,134.3
161390,한국타이어앤테크놀로지,8.74,"4,216",8.74,"4,216",8.00,"4,426",0.67,"54,626",1.22,10.4,159.7
121850,코이즈,-2.79,-757,N/A,N/A,N/A,N/A,1.40,"1,508",2.61,N/A,77.7
149940,모다,-0.32,-479,N/A,N/A,N/A,N/A,0.30,519,N/A,N/A,56.9
161000,애경유화,4.91,"1,657",4.84,"1,682",N/A,N/A,0.74,"10,929",4.30,8.2,201.7
151910,나노스,-45.93,-123,N/A,N/A,N/A,N/A,21.40,264,N/A,N/A,61.6
068400,AJ렌터카,60.82,171,60.47,172,N/A,N/A,0.93,"11,193",N/A,0.9,14.3
097520,엠씨넥스,15.05,"1,767",12.31,"2,161",N/A,N/A,3.49,"7,632",1.13,15.7,86.3
153460,네이블,-11.18,-359,N/A,N/A,N/A,N/A,1.05,"3,806",N/A,N/A,607.7
106520,디지탈옵틱,-0.78,-980,N/A,N/A,N/A,N/A,0.88,874,N/A,0.6,73.3
137400,피엔티,45.86,111,44.65,114,N/A,N/A,1.15,"4,420",3.93,1.7,118.4
014710,사조씨푸드,8.49,733,8.49,733,N/A,N/A,0.49,"12,758",1.12,5.5,101.7
141000,비아트론,5.34,"2,021",5.34,"2,021",N/A,N/A,1.01,"10,669",0.93,139.8,476.3
144620,코오롱머티리얼,-1.25,"-1,619",N/A,N/A,N/A,N/A,1.75,"1,160",0.99,N/A,116.1
072950,빛샘전자,25.00,284,23.91,297,N/A,N/A,0.75,"9,509",0.70,N/A,640.8
079980,휴비스,13.56,536,12.96,561,N/A,N/A,0.59,"12,312",4.13,1.3,87.4
143240,사람인에이치알,16.19,"1,433",15.31,"1,515",N/A,N/A,2.85,"8,142",1.68,554.4,318.4
126870,뉴로스,-15.31,-403,N/A,N/A,N/A,N/A,1.99,"3,102",N/A,3.3,136.5
147830,제룡산업,20.43,323,20.43,323,N/A,N/A,1.19,"5,531",1.51,976.2,925.7
091590,남화토건,181.20,50,181.20,50,N/A,N/A,0.83,"10,942",0.77,N/A,504.2
140410,메지온,-52.57,"-2,199",N/A,N/A,N/A,N/A,17.31,"6,678",N/A,N/A,506.2
104830,원익머트리얼즈,6.43,"3,336",6.43,"3,336",N/A,N/A,0.96,"22,285",0.93,219.3,236.8
127120,디엔에이링크,-11.91,-350,N/A,N/A,N/A,N/A,2.28,"1,826",N/A,N/A,142.8
007070,GS리테일,22.54,"1,566",22.54,"1,566",19.00,"1,832",1.30,"27,116",1.84,1.3,40.3
130580,나이스디앤비,13.44,604,13.44,604,N/A,N/A,2.77,"2,935",1.85,N/A,307.9
131090,시큐브,22.79,68,20.95,74,N/A,N/A,2.03,764,0.61,917.3,767.3
100660,서암기계공업,20.88,273,20.88,273,N/A,N/A,1.20,"4,760",0.88,N/A,512.6
129260,인터지스,-5.54,-454,N/A,N/A,N/A,N/A,0.35,"7,173",4.77,1.7,83.3
115480,씨유메디칼,23.60,111,23.39,112,N/A,N/A,0.87,"3,006",N/A,0.3,101.2
145990,삼양사,12.56,"4,219",11.81,"4,489",N/A,N/A,0.48,"109,300",2.83,2.2,178.4
123260,파인넥스,-0.70,"-1,002",N/A,N/A,N/A,N/A,0.82,857,N/A,N/A,35.1
139670,키네마스터,-25.56,-448,N/A,N/A,N/A,N/A,6.05,"1,893",N/A,N/A,N/A
121800,비덴트,2.35,"2,569",2.35,"2,571",N/A,N/A,0.69,"8,693",N/A,N/A,542
112240,에스에프씨,-12.60,-144,N/A,N/A,N/A,N/A,0.80,"2,277",0.94,N/A,160
138070,신진에스엠,16.85,356,16.62,361,N/A,N/A,0.76,"7,845",1.25,2.7,208.5
123570,이엠넷,16.65,191,16.74,190,N/A,N/A,1.36,"2,337",0.63,N/A,252.1
122870,와이지엔터테인먼트,35.89,911,33.54,975,32.00,"1,025",1.76,"18,544",0.46,N/A,296.9
136510,쎄미시스코,52.99,177,51.26,183,N/A,N/A,1.57,"5,971",0.21,N/A,260.5
089530,에이티세미콘,10.91,57,10.91,57,N/A,N/A,1.20,520,N/A,N/A,35.3
089030,테크윙,12.41,"1,072",12.19,"1,091",12.00,"1,065",1.48,"9,004",1.73,N/A,143.8
101240,씨큐브,17.78,559,15.53,640,N/A,N/A,1.38,"7,210",1.51,15.7,172.6
007820,에스엠코어,138.82,76,138.82,76,N/A,N/A,2.80,"3,774",0.47,982.6,448.8
115530,씨엔플러스,-4.07,-206,N/A,N/A,N/A,N/A,2.34,358,N/A,N/A,112.6
039130,하나투어,76.36,753,72.69,791,22.00,"2,601",3.18,"18,060",2.26,7.4,104.8
043290,케이맥,12.26,"1,126",12.24,"1,127",N/A,N/A,1.71,"8,075",N/A,2.3,267.6
090360,로보스타,-178.63,-131,N/A,N/A,N/A,N/A,2.22,"10,541",0.21,N/A,191.8
131220,대한과학,21.03,242,21.03,242,N/A,N/A,1.48,"3,441",1.18,93.9,296.7
131390,피앤이솔루션,16.91,766,16.91,766,N/A,N/A,2.84,"4,556",0.77,1.7,148.9
143160,아이디스,70.99,405,68.45,420,N/A,N/A,1.96,"14,687",0.87,15.6,820.3
078520,에이블씨엔씨,-24.37,-478,N/A,N/A,N/A,N/A,0.98,"11,909",3.00,N/A,207.1
134780,화진,-4.04,-758,N/A,N/A,N/A,N/A,1.10,"2,771",2.93,N/A,89.6
137950,제이씨케미칼,16.73,220,16.43,224,N/A,N/A,0.99,"3,730",1.63,0.4,66.8
040910,아이씨디,5.41,"1,789",5.20,"1,858",N/A,N/A,1.16,"8,348",1.55,1.1,237.2
123330,제닉,-3.84,"-2,189",N/A,N/A,N/A,N/A,1.48,"5,680",N/A,N/A,133
139050,데일리블록체인,-32.30,-37,N/A,N/A,N/A,N/A,1.21,987,N/A,N/A,88.1
023000,삼원강재,10.20,298,10.20,298,N/A,N/A,0.59,"5,116",3.78,85.8,292.8
089980,상아프론테크,19.62,846,19.44,854,16.00,"1,039",1.97,"8,435",0.96,7.3,117.4
031430,신세계인터내셔날,30.18,"8,052",30.18,"8,052",20.00,"11,926",3.20,"76,024",0.35,10.8,166.8
138610,나이벡,-13.04,-562,N/A,N/A,N/A,N/A,5.22,"1,404",N/A,N/A,77.6
109080,옵티시스,15.41,492,13.39,566,N/A,N/A,1.05,"7,242",0.92,25.3,712.2
108380,대양전기공업,10.29,"1,326",10.11,"1,350",N/A,N/A,0.65,"20,884",N/A,N/A,276.6
047810,한국항공우주,59.20,587,59.20,587,21.00,"1,655",3.36,"10,356",0.58,6.4,132.3
071840,롯데하이마트,11.96,"3,620",11.96,"3,620",9.00,"4,996",0.50,"87,338",0.58,4.2,134.7
019770,서연탑메탈,-3.10,-873,N/A,N/A,N/A,N/A,0.46,"5,878",1.48,N/A,87.9
069640,한세엠케이,18.10,310,17.05,329,N/A,N/A,0.43,"13,036",3.57,N/A,186.6
138490,코오롱플라스틱,15.99,324,16.04,323,N/A,N/A,1.00,"5,189",2.32,6.3,120
137940,넥스트아이,-21.62,-111,N/A,N/A,N/A,N/A,2.18,"1,099",0.29,2.9,209.1
131100,리켐,-5.17,-696,N/A,N/A,N/A,N/A,2.62,"1,373",N/A,N/A,147.8
139480,이마트,9.10,"16,150",9.38,"15,668",12.00,"12,272",0.50,"293,291",1.36,2,55.1
139130,DGB금융지주,3.68,"2,267",3.73,"2,233",4.00,"2,004",0.32,"25,684",4.32,N/A,N/A
053210,스카이라이프,9.92,"1,079",9.86,"1,085",10.00,"1,118",0.77,"13,903",3.27,156.3,214.5
138690,엘아이에스,"1,525.00",8,"1,355.56",9,N/A,N/A,5.26,"2,320",N/A,1,45.4
019440,세아특수강,11.44,"1,302",11.25,"1,325",N/A,N/A,0.40,"37,475",6.04,3.3,188.7
122450,KMH,3.71,"1,943",3.40,"2,115",N/A,N/A,0.79,"9,158",1.67,2.1,81
121440,골프존뉴딘홀딩스,-23.25,-166,N/A,N/A,N/A,N/A,0.34,"11,333",3.03,N/A,58.2
138040,메리츠금융지주,6.46,"2,230",6.64,"2,169",N/A,N/A,0.80,"17,944",3.26,N/A,N/A
136540,윈스,17.37,990,16.00,"1,075",N/A,N/A,1.86,"9,231",1.86,3.5,598.9
136480,하림,-24.26,-141,N/A,N/A,N/A,N/A,1.00,"3,405",1.29,0.3,84.5
023350,한국종합기술,-7.16,-606,N/A,N/A,N/A,N/A,0.47,"9,282",2.30,0.3,98.9
134060,이퓨쳐,103.57,70,97.97,74,N/A,N/A,1.93,"3,749",N/A,N/A,783
104480,티케이케미칼,10.80,311,10.21,329,N/A,N/A,1.12,"3,011",N/A,5,70.8
138930,BNK금융지주,4.64,"1,540",4.85,"1,475",4.00,"1,613",0.31,"23,401",4.20,N/A,N/A
020150,일진머티리얼즈,40.80,897,40.80,897,32.00,"1,131",3.19,"11,460",1.78,46.6,331.5
008470,부스타,15.80,355,15.80,355,N/A,N/A,0.66,"8,448",0.98,141.2,387.6
011210,현대위아,-22.12,"-2,043",N/A,N/A,18.00,"2,459",0.40,"114,335",1.33,0.9,185.3
136490,선진,16.18,754,16.18,754,N/A,N/A,0.92,"13,312",0.41,1.6,86.5
134380,미원화학,12.29,"3,372",11.28,"3,675",N/A,N/A,0.93,"44,699",2.41,N/A,268.2
121600,나노신소재,26.92,702,26.36,717,N/A,N/A,2.29,"8,243",0.74,93,818.1
093320,케이아이엔엑스,16.79,"2,501",15.67,"2,681",N/A,N/A,2.82,"14,902",0.95,38.5,309.2
130740,티피씨글로벌,10.00,280,9.93,282,N/A,N/A,0.44,"6,428",1.79,N/A,116.3
131180,딜리,22.90,88,22.64,89,N/A,N/A,1.01,"1,996",1.74,135.6,707.1
061970,엘비세미콘,30.23,349,30.23,349,N/A,N/A,3.96,"2,663",N/A,7.9,65.8
126880,제이엔케이히터,-11.95,-472,N/A,N/A,N/A,N/A,1.83,"3,088",0.89,1.7,116.9
033560,블루콤,35.57,106,35.57,106,N/A,N/A,0.41,"9,186",1.33,N/A,N/A
048530,인트론바이오,60.46,282,58.39,292,N/A,N/A,13.43,"1,270",N/A,N/A,371.4
134790,시디즈,22.10,"2,009",18.55,"2,393",N/A,N/A,2.97,"14,970",0.68,N/A,143
119860,다나와,20.56,"1,255",20.30,"1,271",N/A,N/A,3.70,"6,972",1.24,129.9,438.9
131370,알서포트,43.35,94,42.45,96,N/A,N/A,3.94,"1,035",0.25,525.5,768.4
064290,인텍플러스,-11.98,-545,N/A,N/A,N/A,N/A,4.82,"1,354",N/A,9.1,167.2
131290,티에스이,7.12,"1,137",6.57,"1,231",N/A,N/A,0.56,"14,557",2.47,22.9,307.7
082740,HSD엔진,-10.03,-385,N/A,N/A,N/A,N/A,0.55,"7,014",1.29,N/A,59.3
131400,액트,25.58,137,23.68,148,N/A,N/A,1.62,"2,168",0.86,4.9,87.5
117580,대성에너지,11.62,469,11.62,469,N/A,N/A,0.50,"10,981",4.59,34,102.9
126560,현대에이치씨엔,11.30,354,11.05,362,10.00,388,0.62,"6,482",1.50,676.7,666.1
120240,대정화금,9.68,"1,492",9.63,"1,501",N/A,N/A,0.90,"16,125",2.08,528.3,350.3
058860,KTis,10.79,227,10.47,234,N/A,N/A,0.52,"4,737",3.27,7.7,181.6
130660,한전산업,9.41,372,9.43,371,N/A,N/A,1.51,"2,312",4.83,36.9,182
128660,피제이메탈,20.85,130,20.85,130,N/A,N/A,1.64,"1,649",3.69,5.1,177.1
131030,디에이치피코리아,15.41,604,15.19,613,N/A,N/A,1.60,"5,813",1.07,N/A,800.1
096690,제이스테판,-9.41,-278,N/A,N/A,N/A,N/A,0.83,"3,134",0.18,N/A,185.8
900140,엘브이엠씨홀딩스,-2.87,-869,N/A,N/A,N/A,N/A,0.36,"7,005",4.51,N/A,154.3
033830,티비씨,33.82,34,31.94,36,N/A,N/A,1.02,"1,127",0.87,228,814.8
033170,시그네틱스,-17.33,-73,N/A,N/A,N/A,N/A,0.74,"1,719",N/A,N/A,171.6
122800,썬텍,-4.76,-210,N/A,N/A,N/A,N/A,2.08,481,3.00,N/A,69.9
041460,한국전자인증,33.00,130,28.41,151,N/A,N/A,2.27,"1,891",1.07,206.1,265
105740,디케이락,16.35,685,16.35,685,N/A,N/A,1.09,"10,291",1.34,51.9,264.1
126600,코프라,15.57,229,15.57,229,N/A,N/A,0.74,"4,817",1.96,15,221.8
123420,선데이토즈,19.62,"1,037",19.20,"1,060",N/A,N/A,1.39,"14,640",N/A,N/A,924.6
111870,삼본전자,55.08,59,55.08,59,N/A,N/A,1.73,"1,876",1.60,N/A,197.6
123860,아나패스,-84.01,-416,N/A,N/A,N/A,N/A,4.72,"7,405",0.71,N/A,251.3
058400,KNN,19.15,59,19.15,59,N/A,N/A,0.79,"1,439",2.21,226.9,477.9
030790,동양네트웍스,-16.40,-121,N/A,N/A,N/A,N/A,2.12,937,N/A,N/A,98.9
069140,누리플랜,55.14,111,54.16,113,N/A,N/A,1.31,"4,661",1.14,N/A,145.3
119830,아이텍,61.15,269,61.15,269,N/A,N/A,2.81,"5,859",0.61,0.8,255.3
101930,인화정공,-27.26,-190,N/A,N/A,N/A,N/A,0.33,"15,475",0.96,0,66.3
078650,코렌,11.00,209,11.00,209,N/A,N/A,2.15,"1,071",N/A,2,55
068940,아이씨케이,-24.08,-87,N/A,N/A,N/A,N/A,4.52,463,N/A,2.8,164.1
123840,한일진공,-4.80,-256,N/A,N/A,N/A,N/A,0.52,"2,382",1.42,N/A,263.3
081660,휠라코리아,33.50,"2,349",33.50,"2,349",20.00,"4,034",4.85,"16,226",0.06,6.6,187.9
117670,알파홀딩스,-21.21,-422,N/A,N/A,N/A,N/A,2.34,"3,829",0.45,N/A,76.2
119500,포메탈,17.49,177,17.49,177,N/A,N/A,0.85,"3,661",1.94,14.5,160.4
058850,KTcs,8.66,265,8.47,271,N/A,N/A,0.61,"3,737",3.92,4,171.2
068240,다원시스,45.05,313,42.86,329,N/A,N/A,1.86,"7,594",0.35,1.5,152.4
057050,현대홈쇼핑,6.60,"13,881",6.43,"14,252",8.00,"12,004",0.64,"144,125",2.07,10.6,130.9
096530,씨젠,74.67,375,74.07,378,48.00,586,5.29,"5,294",N/A,49.6,603.9
122990,와이솔,10.70,"1,878",10.37,"1,939",10.00,"1,933",1.83,"10,984",1.24,33.5,118.8
126700,하이비젼시스템,5.83,"1,498",5.45,"1,603",N/A,N/A,1.03,"8,460",1.14,30.7,230.1
126640,화신정공,38.97,29,37.67,30,N/A,N/A,0.52,"2,188",1.77,67.2,187.1
123410,코리아에프티,20.10,144,20.10,144,N/A,N/A,0.70,"4,127",2.07,N/A,94.5
002150,도화엔지니어링,25.06,409,25.06,409,N/A,N/A,1.38,"7,422",2.15,353.1,124.6
123040,엠에스오토텍,29.03,129,29.03,129,N/A,N/A,1.23,"3,039",1.34,1.7,77.4
067920,이글루시큐리티,5.72,791,5.25,862,N/A,N/A,0.93,"4,883",3.09,399.1,602.5
128820,대성산업,-25.66,-198,N/A,N/A,N/A,N/A,0.35,"14,335",N/A,0.3,43
122900,아이마켓코리아,30.32,343,29.13,357,N/A,N/A,0.93,"11,148",4.33,23.5,136.9
128940,한미약품,191.93,"2,144",190.51,"2,160",141.00,"2,923",6.76,"60,879",0.12,4.6,111.6
119610,인터로조,21.36,"1,290",21.26,"1,296",16.00,"1,710",2.56,"10,777",1.06,81.4,368.2
106190,하이텍팜,39.67,368,39.67,368,N/A,N/A,1.00,"14,579",0.34,9.6,118.5
105840,우진,-14.76,-420,N/A,N/A,N/A,N/A,0.95,"6,505",3.55,N/A,196.9
114120,크루셜텍,-1.07,"-1,061",N/A,N/A,N/A,N/A,0.87,"1,302",N/A,N/A,146.8
033920,무학,-15.33,-711,N/A,N/A,N/A,N/A,0.61,"17,967",3.21,N/A,84
121890,에스디시스템,-7.39,-700,N/A,N/A,N/A,N/A,2.56,"2,022",1.93,N/A,153.1
123750,알톤스포츠,-14.02,-179,N/A,N/A,N/A,N/A,1.12,"2,234",3.07,N/A,134.5
103130,웅진에너지,-0.24,"-3,780",N/A,N/A,N/A,N/A,0.69,"1,334",N/A,N/A,24.6
089850,유비벨록스,32.22,225,30.72,236,N/A,N/A,0.74,"9,764",N/A,1.5,164.8
111820,지와이커머스,-3.27,-689,N/A,N/A,N/A,N/A,0.66,"3,429",N/A,N/A,128.7
046120,오르비텍,30.37,147,29.97,149,N/A,N/A,1.54,"2,891",1.96,8.9,126.1
102460,이연제약,208.12,80,205.56,81,N/A,N/A,1.23,"13,524",3.00,4.6,428.9
070300,한솔시큐어,-7.00,-668,N/A,N/A,N/A,N/A,1.57,"2,980",0.86,116.7,881.6
108320,실리콘웍스,14.02,"3,010",14.02,"3,010",12.00,"3,514",1.54,"27,460",1.97,110.6,272.7
079970,투비소프트,-3.44,"-1,125",N/A,N/A,N/A,N/A,1.58,"2,451",0.77,N/A,159.4
123690,한국화장품,-21.78,-482,N/A,N/A,N/A,N/A,3.20,"3,285",N/A,4.5,159.7
123700,SJM,13.20,267,13.20,267,N/A,N/A,0.35,"10,107",3.69,889.7,533
071200,인피니트헬스케어,31.53,202,31.53,202,N/A,N/A,2.01,"3,170",N/A,235.3,507.1
100030,모바일리더,28.53,"1,276",24.22,"1,503",N/A,N/A,3.11,"11,723",0.47,N/A,N/A
122690,서진오토모티브,-3.36,-833,N/A,N/A,N/A,N/A,0.55,"5,082",1.07,N/A,54.6
060980,한라홀딩스,33.69,"1,214",33.20,"1,232",10.00,"4,294",0.50,"82,464",4.89,2.4,118.3
032830,삼성생명,9.94,"8,322",8.92,"9,268",13.00,"6,406",0.51,"160,947",3.20,N/A,N/A
031440,신세계푸드,41.13,"2,198",41.13,"2,198",22.00,"4,063",1.10,"81,839",0.83,2.5,105.6
900110,이스트아시아홀딩스,11.50,20,N/A,N/A,N/A,N/A,0.13,"1,785",N/A,5.8,N/A
900100,뉴프라이드,-8.70,-200,N/A,N/A,N/A,N/A,2.56,681,N/A,N/A,75.6
115500,케이씨에스,23.09,223,23.09,223,N/A,N/A,3.18,"1,619",3.88,478.8,177.9
900120,씨케이에이치,-0.63,-670,N/A,N/A,N/A,N/A,0.09,"4,741",N/A,45.1,N/A
115450,지트리비앤티,162.18,193,159.69,196,N/A,N/A,11.03,"2,839",N/A,N/A,138.3
122350,삼기오토모티브,165.59,17,165.59,17,N/A,N/A,0.76,"3,680",1.60,0.4,42.7
088350,한화생명,6.72,478,6.79,473,8.00,407,0.23,"13,717",3.12,N/A,N/A
115610,이미지스,-3.66,-962,N/A,N/A,N/A,N/A,1.38,"2,557",N/A,N/A,734
120030,조선선재,8.96,"9,348",8.06,"10,397",N/A,N/A,0.89,"93,897",1.79,317.6,942.7
115310,인포바인,7.50,"3,022",5.11,"4,434",N/A,N/A,0.63,"36,145",4.19,N/A,N/A
106080,지투하이소닉,-0.45,"-1,770",N/A,N/A,N/A,N/A,6.23,128,N/A,N/A,56.7
101330,모베이스,8.04,879,7.97,887,N/A,N/A,0.75,"9,472",1.41,24.9,230.1
114570,지스마트글로벌,-4.91,-162,N/A,N/A,N/A,N/A,0.63,"1,266",N/A,N/A,303.5
120110,코오롱인더,18.69,"2,250",18.67,"2,252",12.00,"3,645",0.60,"70,480",2.14,2.6,83.3
119650,KC코트렐,22.16,320,22.16,320,N/A,N/A,1.18,"5,996",1.13,2,119.7
071320,지역난방공사,-2.77,"-19,564",N/A,N/A,63.00,855,0.40,"134,743",5.20,5.5,73.7
115390,락앤락,28.25,554,27.90,561,N/A,N/A,1.28,"12,188",0.51,7.7,493.4
115570,스타플렉스,5.59,832,5.50,845,N/A,N/A,0.42,"11,195",2.15,0.6,74.4
115440,우리넷,34.10,293,34.10,293,N/A,N/A,1.19,"8,395",1.00,0.9,454.1
050860,아세아텍,28.56,167,27.26,175,N/A,N/A,0.78,"6,116",1.57,2.5,170.6
012160,영흥철강,-23.11,-61,N/A,N/A,N/A,N/A,0.46,"3,078",0.71,N/A,118.6
114630,우노앤컴퍼니,-21.59,-182,N/A,N/A,N/A,N/A,0.77,"5,101",2.55,N/A,778.9
080530,코디,-3.08,"-1,167",N/A,N/A,N/A,N/A,1.35,"2,666",N/A,0.8,76.6
118000,우리들휴브레인,-4.26,-531,N/A,N/A,N/A,N/A,2.99,757,N/A,N/A,108.7
900070,글로벌에스엠,-93.38,-8,N/A,N/A,N/A,N/A,0.50,"1,491",9.28,21.7,306.2
099520,ITX엠투엠,-15.17,-116,N/A,N/A,N/A,N/A,1.93,912,N/A,N/A,214.7
114450,KPX생명과학,-38.33,-96,N/A,N/A,N/A,N/A,0.93,"3,941",6.36,2.5,300.6
104460,동양피엔에프,8.61,969,7.90,"1,056",N/A,N/A,1.63,"5,115",1.80,74.4,130.9
096640,멜파스,-1.52,"-1,417",N/A,N/A,N/A,N/A,1.14,"1,892",N/A,N/A,38.8
112040,위메이드,-43.33,-787,N/A,N/A,-455.00,-75,2.15,"15,828",1.76,N/A,197.3
052690,한전기술,63.17,338,62.79,340,26.00,828,1.76,"12,128",0.66,214.7,122.9
108860,셀바스AI,-6.15,-615,N/A,N/A,N/A,N/A,2.21,"1,711",N/A,N/A,65.5
900080,에스앤씨엔진그룹,3.36,151,N/A,N/A,N/A,N/A,0.13,"3,776",N/A,122.1,904.6
088290,이원컴포텍,-12.39,-119,N/A,N/A,N/A,N/A,2.46,599,N/A,N/A,78.9
114190,웰크론강원,19.08,130,19.08,130,N/A,N/A,0.79,"3,142",N/A,N/A,152.7
114090,GKL,15.99,"1,257",15.99,"1,257",14.00,"1,388",2.21,"9,087",3.53,17.6,200.4
115160,휴맥스,-3.79,"-1,969",N/A,N/A,N/A,N/A,0.45,"16,471",2.01,1.8,126.2
109960,에이프로젠 H&G,11.88,60,10.04,71,N/A,N/A,0.59,"1,218",N/A,N/A,633.9
034730,SK,7.52,"31,767",5.93,"40,310",9.00,"26,655",0.81,"294,873",2.09,3.7,122.1
099410,동방선기,-14.14,-175,N/A,N/A,N/A,N/A,1.14,"2,176",N/A,N/A,439.6
101000,상상인인더스트리,-0.07,"-43,520",N/A,N/A,N/A,N/A,4.23,740,0.64,N/A,195.4
109820,진매트릭스,-17.28,-202,N/A,N/A,N/A,N/A,5.16,676,N/A,N/A,187
032560,황금에스티,8.04,"1,038",8.04,"1,038",N/A,N/A,0.51,"16,521",0.60,11.3,142.5
082920,비츠로셀,15.97,714,15.94,715,N/A,N/A,2.03,"5,614",0.17,512.4,264.6
000080,하이트진로,68.91,312,67.40,319,46.00,463,1.29,"16,648",3.72,N/A,68.4
042520,한스바이오메드,61.27,408,59.95,417,N/A,N/A,3.76,"6,651",0.40,38.7,210.4
082640,동양생명,11.47,339,11.08,351,6.00,601,0.27,"14,570",2.57,N/A,N/A
104200,NHN벅스,18.82,364,16.83,407,N/A,N/A,1.44,"4,772",N/A,916.5,269.8
052860,아이앤씨,57.43,101,55.24,105,N/A,N/A,2.04,"2,844",N/A,31.1,129
047400,유니온머티리얼,-14.19,-209,N/A,N/A,N/A,N/A,1.48,"1,997",1.18,2.2,135.5
105330,케이엔더블유,42.36,106,41.19,109,N/A,N/A,0.63,"7,178",N/A,N/A,154
093240,형지엘리트,-6.65,-281,N/A,N/A,N/A,N/A,0.69,"2,705",5.78,0.5,212.6
109740,디에스케이,11.54,966,11.38,980,N/A,N/A,2.13,"5,235",0.22,2.2,185.2
095700,제넥신,-42.67,"-1,568",N/A,N/A,N/A,N/A,4.73,"14,152",N/A,N/A,966.2
108230,톱텍,17.88,537,17.58,546,N/A,N/A,1.00,"9,616",1.56,26.2,416.8
100130,동국S&C,-22.16,-116,N/A,N/A,N/A,N/A,0.56,"4,599",3.11,N/A,176.9
103230,에스앤더블류,-3.01,"-1,419",N/A,N/A,N/A,N/A,0.73,"5,864",N/A,2.4,331.1
039490,키움증권,10.66,"7,750",11.42,"7,230",6.00,"12,884",1.03,"80,397",1.82,N/A,N/A
063080,게임빌,-143.81,-299,N/A,N/A,11.00,"3,856",1.17,"36,600",N/A,N/A,58.3
111770,영원무역,15.74,"2,551",15.58,"2,577",13.00,"3,125",1.14,"35,211",0.87,16.1,244.6
109860,동일금속,8.72,"1,348",8.02,"1,466",N/A,N/A,0.69,"17,062",1.96,70.6,208.9
033660,아주캐피탈,6.77,"1,581",6.73,"1,589",6.00,"1,671",0.81,"13,139",4.49,N/A,N/A
053690,한미글로벌,17.16,638,15.71,697,N/A,N/A,1.12,"9,776",1.83,32.3,229.4
028100,동아지질,12.70,"1,630",12.48,"1,658",N/A,N/A,1.34,"15,466",0.97,39.4,171.7
102120,어보브반도체,15.32,472,14.55,497,N/A,N/A,1.50,"4,808",1.25,199.9,447
