,기업명,PER,EPS,PER(krx),EPS(krx),추정PER,추정EPS,PBR,BPS,배당수익률,이자보상배율,유동비율
287410,유안타제3호스팩,"-2,120.00",-1,N/A,N/A,N/A,N/A,1.17,"1,810",N/A,N/A,N/A
950170,JTC,7.80,979,N/A,N/A,N/A,N/A,1.33,"5,741",2.55,92.6,323.5
253590,네오셈,8.41,189,132.50,12,N/A,N/A,1.97,809,0.38,N/A,328.5
263700,케어랩스,27.02,620,26.93,622,N/A,N/A,1.73,"9,685",N/A,1.8,343.6
018250,애경산업,18.43,"2,409",18.42,"2,411",16.00,"2,709",3.77,"11,768",1.01,452.4,287.1
064510,에코마이스터,-1.46,"-3,653",N/A,N/A,N/A,N/A,3.76,"1,422",N/A,N/A,55.8
277070,린드먼아시아,17.05,281,17.05,281,N/A,N/A,1.56,"3,070",1.52,N/A,N/A
226400,오스테오닉,-4.93,-826,N/A,N/A,N/A,N/A,1.21,"3,371",N/A,N/A,750.8
183490,엔지켐생명과학,-39.79,"-1,905",N/A,N/A,N/A,N/A,9.96,"7,610",N/A,N/A,554
006620,동구바이오제약,40.02,486,39.78,489,N/A,N/A,2.58,"7,527",N/A,28.8,197.2
154030,아시아종묘,-29.35,-248,N/A,N/A,N/A,N/A,3.57,"2,037",N/A,N/A,197.8
260660,알리코제약,80.15,131,79.55,132,N/A,N/A,1.62,"6,469",0.95,9.7,155.5
068270,셀트리온,96.88,"2,049",96.22,"2,063",73.00,"2,706",10.00,"19,859",N/A,23.8,256.4
042000,카페24,-21.05,"-3,149",N/A,N/A,37.00,"1,776",5.69,"11,657",N/A,4.4,172.6
219420,링크제니시스,25.80,219,25.00,226,N/A,N/A,1.97,"2,875",N/A,181.4,815.8
267790,배럴,26.35,575,25.33,598,N/A,N/A,3.06,"4,955",N/A,56.3,985.4
255220,SG,10.37,834,10.05,861,N/A,N/A,1.71,"5,065",0.69,5.3,102.5
264660,씨앤지하이테크,5.53,"1,200",5.51,"1,204",N/A,N/A,0.99,"6,723",1.51,N/A,402.7
284740,쿠쿠홈시스,33.83,"1,534",33.83,"1,534",N/A,N/A,3.13,"16,579",1.08,26.7,181.7
285130,SK케미칼,126.41,462,127.79,457,N/A,N/A,1.10,"53,114",0.69,0.4,122.4
269620,시스웍,10.54,268,10.54,268,N/A,N/A,1.41,"2,004",1.06,N/A,N/A
281410,한국제6호스팩,117.78,18,N/A,N/A,N/A,N/A,1.13,"1,880",N/A,N/A,N/A
187870,디바이스이엔지,5.65,"2,054",5.56,"2,087",N/A,N/A,1.23,"9,422",1.60,N/A,435.7
281740,동부스팩5호,119.17,18,N/A,N/A,N/A,N/A,1.17,"1,826",N/A,N/A,N/A
282330,BGF리테일,21.86,"8,921",21.85,"8,925",20.00,"9,621",6.46,"30,198",1.37,27.7,69.5
092780,동양피스톤,6.00,873,6.00,874,N/A,N/A,0.72,"7,246",2.29,2.4,80.1
272450,진에어,13.70,"1,482",13.70,"1,482",8.00,"2,418",2.29,"8,873",1.48,10.7,137.4
260930,씨티케이코스메틱스,27.54,788,27.26,796,N/A,N/A,1.26,"17,257",0.92,26.4,587.6
241770,메카로,4.91,"2,883",4.90,"2,888",N/A,N/A,1.00,"14,083",4.06,384.8,492
234300,에스트래픽,-10.85,-756,N/A,N/A,N/A,N/A,2.42,"3,393",0.24,N/A,100.9
281820,케이씨텍,4.80,"2,741",4.80,"2,741",7.00,"1,944",1.01,"12,956",2.05,152.5,428
066360,체리부로,-9.24,-316,N/A,N/A,N/A,N/A,0.86,"3,394",1.71,0.2,57.1
007680,대원,5.36,"2,723",5.36,"2,723",N/A,N/A,0.59,"24,678",1.71,11.1,306.5
138580,비즈니스온,28.38,555,28.38,555,N/A,N/A,4.25,"3,710",1.49,102.5,658.7
282690,동아타이어,11.50,"1,178",11.50,"1,178",N/A,N/A,0.55,"24,771",2.21,125.2,327.2
272550,삼양패키징,11.55,"1,507",11.55,"1,507",N/A,N/A,0.93,"18,679",2.87,1.2,113.4
279410,한화에이스스팩4호,353.33,6,N/A,N/A,N/A,N/A,1.11,"1,903",N/A,N/A,N/A
253450,스튜디오드래곤,56.73,"1,278",56.73,"1,278",42.00,"1,744",5.07,"14,305",N/A,182.3,231.7
276920,IBKS제7호스팩,155.00,14,N/A,N/A,N/A,N/A,1.10,"1,973",N/A,N/A,N/A
148140,비디아이,100.97,103,100.97,103,N/A,N/A,2.43,"4,280",0.83,N/A,129.4
950160,코오롱티슈진,-14.35,-558,N/A,N/A,N/A,N/A,3.30,"2,427",N/A,N/A,N/A
055490,테이팩스,20.68,"1,081",20.68,"1,081",N/A,N/A,1.13,"19,740",0.56,4.5,75.1
280360,롯데제과,72.70,"2,187",72.54,"2,192",14.00,"11,267",0.87,"183,215",0.82,2.5,135.8
265560,영화테크,13.85,729,13.70,737,N/A,N/A,1.08,"9,328",0.99,21.3,386.1
234100,세원,41.83,63,41.83,63,N/A,N/A,1.70,"1,547",N/A,7,96.3
277480,신한제4호스팩,117.78,18,N/A,N/A,N/A,N/A,1.16,"1,834",N/A,N/A,N/A
263810,상신전자,25.90,212,25.77,213,N/A,N/A,1.61,"3,412",1.32,11.4,226.9
255440,야스,8.14,"2,775",8.14,"2,776",7.00,"3,239",2.07,"10,898",2.21,405.4,179
277410,인산가,-45.12,-42,N/A,N/A,N/A,N/A,1.92,985,1.05,1.4,196.2
263920,블러썸엠앤씨,"-3,525.00",-8,N/A,N/A,N/A,N/A,10.12,"2,786",N/A,N/A,N/A
243840,신흥에스이씨,27.45,"1,468",27.45,"1,468",N/A,N/A,3.15,"12,812",0.37,6.8,124.8
179900,유티아이,47.66,406,47.43,408,N/A,N/A,5.06,"3,822",0.52,21.3,184.3
171090,선익시스템,13.37,573,13.30,576,N/A,N/A,0.79,"9,676",1.30,128.2,264.4
259630,엠플러스,61.97,309,61.97,309,N/A,N/A,2.50,"7,646",N/A,N/A,194.1
174900,앱클론,-414.75,-122,N/A,N/A,N/A,N/A,19.37,"2,612",N/A,358.2,524.3
263540,샘코,-80.77,-260,N/A,N/A,N/A,N/A,4.22,"4,982",0.60,N/A,174.6
263750,펄어비스,18.03,"11,591",16.72,"12,498",16.00,"13,127",6.16,"33,927",N/A,10.9,286.5
256940,케이피에스,8.31,"1,594",8.31,"1,594",N/A,N/A,1.83,"7,224",0.75,254,430.4
263600,덕우전자,-45.03,-189,N/A,N/A,N/A,N/A,0.84,"10,179",2.35,N/A,236.1
258610,이더블유케이,10.01,385,9.81,393,N/A,N/A,1.15,"3,362",N/A,1.6,226.8
270520,하나금융10호스팩,212.00,10,N/A,N/A,N/A,N/A,1.14,"1,855",N/A,N/A,N/A
140670,알에스오토메이션,96.90,113,96.90,113,N/A,N/A,2.52,"4,344",0.91,2.4,180.6
900310,컬러레이,3.67,490,N/A,N/A,N/A,N/A,0.74,"2,446",4.92,114.9,N/A
273060,엔에이치스팩12호,112.89,19,N/A,N/A,N/A,N/A,1.14,"1,875",N/A,N/A,N/A
118990,모트렉스,75.92,49,70.19,53,N/A,N/A,0.78,"4,791",3.83,N/A,150.6
263800,데이타솔루션,-13.16,-256,N/A,N/A,N/A,N/A,2.05,"1,642",N/A,N/A,214.3
263860,지니언스,19.18,280,18.71,287,N/A,N/A,1.54,"3,488",0.96,N/A,N/A
263720,디앤씨미디어,39.34,408,39.15,410,N/A,N/A,5.28,"3,042",0.45,679.7,516.9
091990,셀트리온헬스케어,720.00,80,720.00,80,75.00,772,4.99,"11,537",N/A,N/A,224.1
181340,이즈미디어,16.63,498,16.14,513,N/A,N/A,1.48,"5,579",0.60,16.5,158.7
271740,한국제5호스팩,270.00,8,N/A,N/A,N/A,N/A,1.16,"1,866",N/A,N/A,N/A
238490,힘스,-118.23,-192,N/A,N/A,N/A,N/A,2.44,"9,293",0.88,476.2,327.5
271980,제일약품,280.47,128,252.82,142,N/A,N/A,2.85,"12,581",0.17,6.5,138.2
251630,브이원텍,10.53,"1,030",10.52,"1,031",N/A,N/A,2.12,"5,120",0.92,235.7,N/A
227610,아우딘퓨쳐스,11.34,913,11.19,925,N/A,N/A,1.91,"5,433",1.05,N/A,554.5
272290,이녹스첨단소재,15.54,"3,302",15.29,"3,355",12.00,"4,325",3.16,"16,251",N/A,24.8,201
035720,카카오,202.28,613,199.04,623,75.00,"1,643",1.91,"64,897",0.10,7.8,140.8
271560,오리온,24.25,"3,538",24.25,"3,538",16.00,"5,438",2.41,"35,560",0.70,20.1,122.5
003380,하림지주,10.03,"1,172",8.94,"1,315",N/A,N/A,0.53,"22,277",0.85,2.8,74.4
261200,하나금융9호스팩,118.06,18,N/A,N/A,N/A,N/A,1.10,"1,930",N/A,N/A,N/A
267320,교보7호스팩,458.00,5,N/A,N/A,N/A,N/A,1.17,"1,953",N/A,N/A,N/A
250000,보라티알,9.52,712,9.48,715,N/A,N/A,0.88,"7,728",2.21,150.9,398.9
265920,한화수성스팩,110.79,19,N/A,N/A,N/A,N/A,1.10,"1,917",N/A,N/A,N/A
267980,매일유업,11.97,"7,530",11.94,"7,545",11.00,"8,405",2.04,"44,252",0.78,27.1,181.4
225190,삼양옵틱스,11.92,"1,246",11.92,"1,246",N/A,N/A,4.13,"3,599",7.41,N/A,229.6
264850,IBKS제6호스팩,241.11,9,N/A,N/A,N/A,N/A,1.12,"1,944",N/A,N/A,N/A
161580,필옵틱스,-5.12,"-1,594",N/A,N/A,N/A,N/A,2.11,"3,869",1.25,N/A,100.6
265480,미래에셋대우스팩1호,270.62,8,N/A,N/A,N/A,N/A,1.18,"1,831",N/A,N/A,N/A
268280,미원에스씨,10.55,"6,930",10.55,"6,932",N/A,N/A,1.73,"42,201",1.64,556.3,482.9
267290,경동도시가스,4.18,"7,230",4.18,"7,235",N/A,N/A,0.45,"67,907",2.89,137.1,122.8
251270,넷마블,55.03,"2,226",54.93,"2,230",42.00,"2,893",2.35,"52,199",0.29,17.9,387.3
079440,오렌지라이프,8.93,"3,796",8.93,"3,796",9.00,"3,874",0.74,"46,005",7.67,N/A,N/A
267270,현대건설기계,8.85,"4,565",8.81,"4,585",7.00,"5,417",0.63,"64,010",2.10,7.1,212.7
267260,현대일렉트릭,-2.04,"-8,789",N/A,N/A,-15.00,"-1,163",0.43,"41,916",N/A,N/A,173.5
267250,현대중공업지주,18.92,"16,493",16.98,"18,371",9.00,"35,663",0.59,"528,495",5.93,2,101
256630,엔에이치스팩10호,96.15,26,N/A,N/A,N/A,N/A,1.29,"1,939",N/A,N/A,N/A
264290,한화에이스스팩3호,448.00,5,N/A,N/A,N/A,N/A,1.18,"1,892",N/A,N/A,N/A
166090,하나머티리얼즈,8.46,"1,891",8.46,"1,892",N/A,N/A,2.57,"6,227",1.56,36.3,50.7
251370,와이엠티,20.00,990,19.96,992,N/A,N/A,2.26,"8,754",N/A,13.9,209.8
258790,케이비제11호스팩,371.67,6,N/A,N/A,N/A,N/A,1.18,"1,892",N/A,N/A,N/A
264900,크라운제과,9.51,"1,029",9.51,"1,029",N/A,N/A,1.01,"9,646",2.55,12.2,83.1
